Datum,Gemeentenaam,Provincienaam,Aantal,Provincie_aantal,Aantal_yes,Provincie_aantal_yes,Datum_yes2,Aantal_y,Provincie_aantal_yes2,Aantal_yes3,Provincie_aantal_yes3,outbreak_days,high_temp_degree,low_temp_degree,hist_Gemiddeld_degree_low,hist_Gemiddeld_degree_high,Gemeenten2016_Bevolking,Gemeenten2016_Beweegrichtlijnen,Gemeenten2016_Eenzaam,Gemeenten2016_Ernstig_zeerernstigeenzaam,Gemeenten2016_Ernstigehinderspoorwegen,Gemeenten2016_Ernstigehindervliegtuigen,Gemeenten2016_Ernstigehinderwegenless_than_50km_u,Gemeenten2016_Ernstigehinderwegenmore_than_50km_u,Gemeenten2016_Gehoorbeperking,Gemeenten2016_Gezichtsbeperking,Gemeenten2016_Goed_zeergoedervarengezondheid,Gemeenten2016_Hoogrisicoopangstofdepressie,Gemeenten2016_Langdurigeziekteofaandoening,Gemeenten2016_Mantelzorger,Gemeenten2016_Mantelzorgontvangenafg12mnd_65above,Gemeenten2016_Matig_hoogrisicoopangstofdepressie,Gemeenten2016_Matig_veelregieovereigenleven,Gemeenten2016_Minstenseenbeperking,Gemeenten2016_Mobiliteitsbeperking,Gemeenten2016_Obesitas,Gemeenten2016_Overgewicht,Gemeenten2016_Roker,Gemeenten2016_Sporter,Gemeenten2016_Voldoetaanalcoholrichtlijn,Gemeenten2016_Vrijwilligerswerk,record_count,doc_record_count
2020-03-04,tilburg,noord-brabant,3,131760,2.0,131760.0,2020-03-02 00:00:00,4.0,131760.0,4.0,131760.0,6,10,2,2,8,212941,48,47,13,2,3,7,4,6,7,72,9,34,15,18,51,88,18,12,17,50,26,50,39,23,667,1391
2020-03-04,gooise meren,noord-holland,1,83056,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,1,2,8,56696,53,38,8,3,4,8,4,4,5,77,5,33,14,14,39,91,14,9,10,42,17,56,35,31,242,383
2020-03-04,altena,noord-brabant,3,131760,3.0,131760.0,2020-03-02 00:00:00,1.0,131760.0,1.0,131760.0,6,10,2,2,8,54083,133,120,24,0,15,16,8,16,15,230,15,90,51,50,130,268,44,28,45,158,55,127,138,112,157,143
2020-03-04,hoeksche waard,zuid-holland,1,109279,0.0,0.0,0,0.0,0.0,0.0,0.0,6,10,3,2,8,84968,215,195,37,3,7,27,17,21,21,392,24,162,80,73,194,450,66,45,81,274,91,222,225,158,211,234
2020-03-05,zeewolde,flevoland,1,9230,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,22113,48,42,9,0,1,2,1,4,3,78,6,32,14,12,41,91,11,7,12,47,21,51,42,33,73,72
2020-03-05,coevorden,drenthe,3,6742,2.0,6742.0,2020-03-03 00:00:00,2.0,6742.0,1.0,6742.0,7,9,-1,1,7,35381,46,42,9,0,2,4,2,6,6,76,6,36,14,16,37,88,18,12,17,56,22,40,40,34,97,88
2020-03-05,borne,overijssel,1,38086,0.0,0.0,0,0.0,0.0,0.0,0.0,7,8,3,1,7,22343,58,38,7,4,0,5,1,6,6,79,5,33,16,14,43,92,15,10,14,53,18,56,35,36,61,77
2020-03-05,culemborg,gelderland,1,69886,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,27644,52,44,9,2,0,6,2,5,6,76,6,34,15,17,49,90,15,10,14,48,21,51,45,32,111,145
2020-03-05,zaltbommel,gelderland,1,69886,1.0,69886.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,27543,45,41,9,3,5,3,5,5,5,76,6,32,15,16,46,90,16,10,15,53,20,42,46,34,81,92
2020-03-05,de bilt,utrecht,2,43217,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,42375,53,42,9,2,2,6,5,4,5,76,5,34,16,17,41,90,15,10,12,43,18,56,38,34,204,340
2020-03-05,houten,utrecht,9,43217,1.0,43217.0,2020-03-03 00:00:00,1.0,43217.0,0.0,0.0,7,7,4,2,8,48765,55,38,8,4,0,2,2,3,4,80,5,31,16,15,40,93,11,7,13,46,16,59,40,34,159,182
2020-03-05,soest,utrecht,4,43217,0.0,0.0,0,0.0,0.0,0.0,0.0,7,7,4,2,8,45487,50,43,9,1,2,5,2,4,6,75,6,35,16,15,42,90,15,11,12,47,20,51,41,31,147,189
2020-03-05,utrecht,utrecht,6,43217,2.0,43217.0,2020-03-03 00:00:00,2.0,43217.0,0.0,0.0,7,7,4,2,8,338967,57,44,12,2,2,10,6,4,6,75,9,31,10,17,52,89,14,10,12,40,24,58,39,26,1261,2774
2020-03-05,amsterdam,noord-holland,2,83056,1.0,83056.0,0,0.0,0.0,0.0,0.0,7,7,4,2,7,833624,56,49,13,2,7,10,6,4,7,74,9,33,9,14,50,89,16,11,13,42,28,53,41,21,2900,6680
