col_name;Key;Title;Description
"WijkenEnBuurten";"BU04820503";"Nieuwland";
"WijkenEnBuurten";"WK048206  ";"Wijk 06 Landelijk gebied";
"WijkenEnBuurten";"BU04820601";"Polder Blokweer";
"WijkenEnBuurten";"BU04820602";"Polder Kortland";
"WijkenEnBuurten";"BU04820603";"Polder Souburgh";
"WijkenEnBuurten";"BU04820604";"Polder Vinkenwaard";
"WijkenEnBuurten";"GM0613    ";"Albrandswaard";
"WijkenEnBuurten";"WK061301  ";"Wijk 01 Poortugaal-Noord";
"WijkenEnBuurten";"BU06130101";"Valckesteyn";
"WijkenEnBuurten";"BU06130102";"Zwaardijk-Kruisdijk";
"WijkenEnBuurten";"BU06130103";"Poortugaal";
"WijkenEnBuurten";"BU06130104";"Buitengebied Poortugaal";
"WijkenEnBuurten";"WK061302  ";"Wijk 02 Rhoon-Noord";
"WijkenEnBuurten";"BU06130205";"Rhoon Noord";
"WijkenEnBuurten";"BU06130207";"Buitengebied Rhoon-Noord";
"WijkenEnBuurten";"WK061303  ";"Wijk 03 Poortugaal-Zuid";
"WijkenEnBuurten";"BU06130308";"Beatrixstraat";
"WijkenEnBuurten";"BU06130309";"Landweg";
"WijkenEnBuurten";"BU06130310";"Poortugaal-Centrum";
"WijkenEnBuurten";"BU06130311";"Poortugaal Zuid";
"WijkenEnBuurten";"BU06130312";"Polder Albrandswaard";
"WijkenEnBuurten";"BU06130313";"Kijvelanden";
"WijkenEnBuurten";"WK061304  ";"Wijk 04 Rhoon-Zuid";
"WijkenEnBuurten";"BU06130414";"Rhoon-Centrum";
"WijkenEnBuurten";"BU06130415";"Ghijseland";
"WijkenEnBuurten";"BU06130416";"Overhoeken";
"WijkenEnBuurten";"BU06130417";"Park Rhoon";
"WijkenEnBuurten";"BU06130418";"Rhoon-Zuidoost";
"WijkenEnBuurten";"BU06130419";"Tijsjesdijk";
"WijkenEnBuurten";"BU06130420";"Buitengebied Rhoon-Zuid";
"WijkenEnBuurten";"WK061305  ";"Wijk 05 Buitengebied Albrandswaard";
"WijkenEnBuurten";"BU06130521";"Portland-Koedoodzone";
"WijkenEnBuurten";"BU06130522";"Buitengebied";
"WijkenEnBuurten";"WK061306  ";"Wijk 06 Portland";
"WijkenEnBuurten";"BU06130623";"Driehoek";
"WijkenEnBuurten";"BU06130624";"Portland-Centrum";
"WijkenEnBuurten";"BU06130625";"Wijkpark Portland";
"WijkenEnBuurten";"BU06130626";"De Eilanden";
"WijkenEnBuurten";"WK061307  ";"Wijk 07 Rotterdam-Albrandswaard";
"WijkenEnBuurten";"BU06130706";"Distripark";
"WijkenEnBuurten";"GM0361    ";"Alkmaar";
"WijkenEnBuurten";"WK036101  ";"Zuid";
"WijkenEnBuurten";"BU03610100";"Kooimeer";
"WijkenEnBuurten";"BU03610101";"Dillenburg en Stadhouderskwartier";
"WijkenEnBuurten";"BU03610102";"Staatsliedenkwartier en Landstraten";
"WijkenEnBuurten";"BU03610103";"Oud-Rochdale";
"WijkenEnBuurten";"BU03610104";"Emmakwartier";
"WijkenEnBuurten";"BU03610105";"Nassaukwartier en Hout";
